"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Q6ZRV2.2",34663.91,24957.99,160864,101249.6,72570.52,48175.55,77481.02,70664.29,92130.93,75730.95,0,0
"Q6ZRV2.3",8870.852,23134.91,82233.25,57386.88,40536.2,17318.94,100966.8,84601.69,45999.66,35996.66,0,0
"Q6ZRV2.4",70523.25,75959.74,118117.7,100315.7,145021.3,173653.6,196461.6,207206.7,111702.3,97582.88,0,0
"Q6ZRV2.5",0,0,27468.56,7964.523,967.4302,774.648,32666.6,30494.68,5904.467,1458.214,0,0
"Q76FK4",14815.4,14045.98,47762.95,35326.74,34118.66,13072.65,4638.588,1606.965,33795.25,27977.08,0,0
"Q7L4I2",28462.05,38540.93,24231.44,26196.11,14163.26,13852.49,5093.522,4384.202,43143.93,29541.77,0,0
"Q7L8J4",0,1168.779,2110.795,0,3458.929,2506.07,7418.239,11777.73,3977.094,3110.863,0,0
"Q7Z309",0,0,72403.85,57092.55,0,0,1501.295,3246.411,0,1075.042,0,0
"Q7Z309.1",3328.361,3980.516,1438417,1271318,20694.17,5886.947,18138.92,12010.64,8355.382,6765.448,0,0
"Q7Z3K3",20749.21,23562.37,46742.18,70156.65,38100.9,55640.38,205615.2,197218,105094.3,95390.25,0,0
"Q7Z406",1084473,1518565,1972755,2058700,2156817,1512830,659245,627583,1527383,1536926,0,0
"Q7Z434",1526.998,7120.077,0,1349.387,23159.68,1913.525,57372.13,59770.47,1972.164,1494.745,0,0
"Q7Z4V5",89543.74,96957.42,265438.4,199003.2,197601.6,92009.2,82195.87,32013.02,281414.2,206824.7,0,0
"Q7Z4V5.1",0,0,0,0,0,0,6949.768,0,0,0,0,0
"Q7Z5L9",1473.556,3640.698,1348.188,0,6081.551,0,39751.42,47329.19,9875.09,2061.563,0,0
"Q7Z6E9",0,0,670.5264,2408.833,1522.76,1906.916,19439.08,13840.58,1286.62,0,0,0
"Q86UE4",213672.3,253098.7,1530045,1244546,2431629,2652370,524083.8,427742.8,1833238,1545121,0,0
"Q86VM9",6054.397,10369.09,30489.37,26414.14,28233.25,23903.12,36139.03,20556.69,72578.75,49379.98,0,0
"Q86VM9.1",139705.9,119096.8,40973.53,20879.01,92692.29,49960.53,71703.55,50220.13,41022.34,25203.22,0,0
"Q86VM9.2",10584.21,11498.64,15315.76,8743.094,34389.51,18721.48,9809.122,1332.192,44581.75,41834.6,0,0
"Q86VM9.3",122248.9,149413.7,150134,59416.09,228387.1,315463.6,110068.4,147312,189350.7,83247.09,0,0
"Q86WB0",0,2622.862,0,0,0,0,6790.058,6956.354,0,0,0,0
"Q86X29.2",131481.9,225383.9,110661.1,174884.6,161707.7,219277.1,730514.5,650956.7,312317.9,220709.8,0,0
