"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Q9BUR4",65082.99,66425.61,35628.68,28299.78,31110.8,17041.86,142531.6,131971.7,68150.93,95280.93,0,0
"Q9BVG4",43547.12,56449.6,85757.26,69730.82,205254.7,114642.3,29888.7,16940.98,208781.7,137054.8,0,0
"Q9BVG4.1",244909.2,271164.4,272908.4,231358.7,460923.1,225196,193619,127794.1,427655.3,222257.4,0,0
"Q9BW04",249939.7,290025.4,187552.7,274307.2,204144.8,285921.7,347893.8,351763.1,212497,216379.1,0,0
"Q9BW71",25848.85,31799.36,20384.08,20910.05,96382.23,72153.3,12233.99,7931.434,52188.89,39716.75,0,0
"Q9BW71.1",7677.862,27031.54,3538.672,1741.629,2882.713,722.462,7741.971,4308.235,3028.15,3215.524,0,0
"Q9BX95",38946.08,42038,31275.8,19876.6,3850.755,4619.326,68871.81,59296.69,27666.7,24911.45,0,0
"Q9BXP5",82796.6,100783.1,105304.3,111965.2,47706.19,50774.88,361520.3,371237.3,145545.7,171187,0,0
"Q9BY44",280133.8,282701.5,403868.6,393727.4,315537.4,281952,211154.1,220036.7,170712.9,185848.7,0,0
"Q9C0B5",5136.263,13581.59,31022.49,43457.63,35941.74,22007.17,74709.85,79244.41,55931.63,7968.155,0,0
"Q9C0B5.1",19795.97,63590.72,23797.81,25819.87,79267.09,90647.15,178039.1,209014,91566.47,64974.17,0,0
"Q9C0C2",244723.7,173157.5,46945.05,73801.45,46495.76,35527.91,116009.1,127619.5,147245.6,143861.2,0,0
"Q9C0C2.1",31930.5,43101.92,33441.3,60404.33,40930.1,49621.55,124856.7,129740.5,86731.59,68629.14,0,0
"Q9C0C2.2",748783.8,809435.9,656192.9,537623.6,446479.5,447246,175192.8,210113.2,390947.9,341954.2,0,0
"Q9C0C2.3",0,0,0,1284.111,12763.59,11868.85,22424.08,14913.54,2348.349,0,0,0
"Q9C0C9",20853.16,39121.74,29983.91,33069.39,30916.57,72641.81,9132.842,21750.77,16960.36,29390.44,0,0
"Q9GZV5",10459.53,2173.184,1039.499,915.5173,12698.17,3428.72,73675.16,92615.56,3381.278,1386.499,0,0
"Q9H1B7",57813.74,70218.52,123145.1,68630.7,207784.1,165755.9,255717.2,229127.7,253048.9,221110.6,0,0
"Q9H1E3",76950.63,88639.41,10322.81,5901.523,3019.625,2121.786,2421.493,1567.269,2172.703,1689.967,0,0
"Q9H1E3.1",209693.1,349988.2,1234632,814120.6,730188.9,570689.4,107527.4,52474.87,1009742,681181.2,0,0
"Q9H1E3.2",5682738,6971791,7440039,5786870,5877922,4451939,4704022,2918648,5622450,4783493,0,0
"Q9H1E3.3",1712248,1986907,640060.5,606544.6,561654.9,466198.2,224527.1,56067.75,458246.9,480037.7,0,0
"Q9H2P0",30919.29,44998.04,15637.48,8718.155,39999.66,51872.86,152073.2,148075.7,32443.53,11692.46,0,0
"Q9H307",9012.731,28330.03,47603.3,16728.36,15912.71,10584.88,195697.3,173610.6,16903.47,12672.82,0,0
"Q9H330",207518.6,251372,264699.3,277899,193815.9,246901.6,96822.03,140771.1,306593.8,351179.1,0,0
"Q9H3N1",3550983,3830701,4298195,3721631,2608588,2524922,1495168,1134217,2776732,2828088,0,0
"Q9H3N1.1",23150.58,51257.07,78767.08,120369.3,83445.35,74746.02,48310.8,33250.38,126636.3,69737.82,0,0
"Q9H4A3",95758.63,104174.7,213250.3,171341.9,156974.2,91346.32,47897.56,17644.2,113075.5,95148.17,0,0
"Q9H4G0",35474.37,18113.85,179134,24157.82,61190.01,82089.31,141184.5,148108.8,161935.1,97852.03,0,0
"Q9H6F5",106578.2,187373.7,265707.9,258393.4,190268.4,144839,112720,127026.1,197291.2,134969.1,0,0
"Q9H6F5.1",31613.28,52659.34,73393.14,67731.33,43217.42,57569.57,71919.1,99514.83,50639.75,55036.67,0,0
"Q9H6F5.2",91808.37,135350.1,185513.6,189999.2,114830.1,76855.21,75526.79,66058.09,138747.8,267993,0,0
"Q9H6F5.3",22809.65,48831.63,4763.598,4092.839,14646.23,7755.222,9471.283,15206.28,3346.819,3917.253,0,0
"Q9H6Y2",6284.419,28922.38,28965.13,45519.6,41857.85,4194.354,94.88978,0,58014.15,48363.39,0,0
"Q9H6Y2.1",155612.5,159558.9,241741.9,197178.1,374601,105592.8,32649.43,7816.243,455501.3,469153.5,0,0
"Q9H6Z4",143063,107460.4,33923.25,66351.8,54918.23,19327.31,51524.3,25407.08,31487.76,69385.56,0,0
"Q9H7F0",2107.18,0,0,0,0,0,2648.673,720.8117,0,1784.199,0,0
"Q9H8Y8",5295.944,7526.295,1018.998,3717.176,9381.417,2520.448,29952.31,37841.39,2816.634,8025.918,0,0
"Q9HC35",60773.91,79897.59,163334.3,109334.9,426959.3,385576.8,352495,368226.5,273630,199540.2,0,0
"Q9NQ55",19772.58,19691.33,29749.64,21421.44,0,0,5561.857,6849.129,9114.864,3961.619,0,0
"Q9NQQ7",0,0,812.9965,552.3085,271.5923,0,7476.501,7794.037,287.1196,750.5982,0,0
"Q9NQW6",2960.082,0,2843.481,2209.753,0,5359.218,22105.94,15163.36,4105.852,0,0,0
"Q9NR19",12474.95,20457.46,23972.03,20159.84,891.7986,0,30753.79,24767.12,10506.28,14044.41,0,0
"Q9NR30",14042.68,18621.69,26267.47,16706.93,14792.14,18124.97,1678.44,1607.826,16216.94,9404.907,0,0
"Q9NR30.1",365705.7,453658.1,578671.3,459953.5,548481.3,456908.9,228215,189333.3,295221.1,285384.6,0,0
"Q9NRF8",28365.09,12597.05,17651.13,25618.92,6672.917,33458.64,6009.661,13763.95,24850.11,11227.7,0,0
"Q9NRL2",2521.619,6983.618,13851.45,14574.53,12537.16,5099.317,4264.542,5060.411,2152.77,0,0,0
"Q9NSK0",31830.39,62222.08,53569.04,29682.93,124457.2,119849.9,182953.2,234503.3,60813.03,57394.81,0,0
"Q9NTI5",248302.8,156309.1,211981.5,157249.7,99809.12,45699.43,109917.6,122540.9,122518.7,86377.86,0,0
"Q9NTI5.1",46417.45,65028.51,31714.76,14391.28,24961.4,59011.42,78733.93,61007.47,90149.98,43125.18,0,0
"Q9NTJ3",121389.6,126461.3,72911.71,47903.67,35005.03,35931.21,82082.38,52864.25,132636.1,147042.8,0,0
"Q9NTJ3.1",15095.32,40162.78,87448.55,55235.86,44397.03,33734.87,99354.02,102647.9,71673.68,58096.91,0,0
"Q9NWH9",70788.77,105024.2,99701.05,80412.1,167000,49511.22,36501.05,15371.71,119740.3,85272.9,0,0
"Q9NWH9.1",0,0,3934.695,2048.698,0,0,90459.93,71668.87,10625.76,1428.702,0,0
"Q9NWH9.2",17277.04,12824.6,56820.56,35211.74,77829.57,53803.93,90861.33,103344.1,154141,124284.7,0,0
"Q9NX94",1454332,1363228,1054631,987397.7,808143.2,537955.6,591561,550172.5,811978.7,677193.5,0,0
"Q9NXG2",300043.4,326638.5,618950.6,528198,179334.7,173025.8,205039.4,201931.3,245827.6,212453.2,0,0
"Q9NXG2.1",191347,277976.4,450227.3,425447.7,468381.8,307135,72500.94,42023.92,322979.6,342302.7,0,0
"Q9NY27",31827.7,54637.23,92167.19,60521.09,224853.3,234588.7,170038.2,179967.7,151239.3,124443.6,0,0
"Q9NYF8",25166.22,36209.11,58264.85,37537.65,52935.24,38451.81,244636.1,293714.5,58877.82,52953.05,0,0
"Q9NYF8.1",316624.6,523303.6,595915.8,535389.4,575526,453302.6,498826.7,402420,603341.6,634494.7,0,0
"Q9NYF8.2",125911.3,188210.7,190506.8,214196.1,77161.83,69011.38,190905.6,201374.5,134536.5,82067.46,0,0
"Q9NYF8.3",70802.32,102495.4,98181.84,108702.9,85315.57,96848.48,343097.6,308095.1,160808.8,113796.5,0,0
"Q9NYF8.4",207009.4,178534.2,173907.3,249834.6,161245.5,123744.9,1337745,1477603,194382.8,143940.8,0,0
"Q9NYF8.5",55545.27,29581.14,89668.94,97335.66,73059.69,7178.138,62674.7,59354.55,113712.8,123429.7,0,0
"Q9NYF8.6",329056.8,387868.8,315007.4,247420.7,256475.1,273272.2,917046.9,972893.5,455938.6,313478.1,0,0
"Q9NYF8.7",449631,420282.5,798002.6,580929,546344.6,564052.7,1306314,1217539,1000721,685231.7,0,0
"Q9NYI0",1884.047,539.9505,3807.388,0.7422019,670.0999,2753.134,4136.088,5133.835,0,0,0,0
"Q9NYL2",1076.9,2777.846,6469.877,5716.09,6104.685,1237.48,37502.15,30453.43,4201.293,2564.786,0,0
"Q9NZM1",1650.78,1184.666,6719.279,1485.933,6855.849,2783.183,31952.2,35404.12,14305.13,10057.43,0,0
"Q9NZT2",316035,319123.7,378523.9,320723.7,446721.4,308174,114237.7,87280.33,305297,239502.5,0,0
"Q9P0P8",240511.7,255706.6,529239,618082.5,154603.2,136603.4,24533.65,25033.03,119687.2,133242,0,0
"Q9P1Y6",0,0,3637.551,2272.441,1583.045,2030.748,1368.373,1333.246,698.6039,0,0,0
"Q9P1Y6.1",4259.403,7268.035,6935.892,14869.38,4293.111,1941.879,4347.429,3803.68,742.4948,7028.76,0,0
"Q9P206",0,0,0,0,0,0,31197.13,29267.68,1748.511,0,0,0
"Q9P206.1",0,0,0,0,21219.06,27916.33,103011.3,99233.97,10108.41,4172.808,0,0
"Q9P206.2",0,4609.266,0,0,94208.14,88614.17,13358.74,13900.43,22076.07,22011.55,0,0
"Q9P206.3",23788.49,25758.21,42090.98,26236.69,36543.64,19989.91,146760.9,164411.9,42866.18,30227.88,0,0
"Q9P206.4",5262.832,0,2392.553,4460.278,59644,0,79201.32,100126,2178.624,4672.501,0,0
"Q9P206.5",4626.237,5962.776,1840.907,1036.283,1193.247,0,27851.16,22958.47,6508.355,7704.675,0,0
"Q9P289",12314.72,7644.752,23012.17,38660.83,32556.36,78782.09,36949.51,7135.069,23137.85,19331.13,0,0
"Q9P2G1",13689.53,20967.74,28273.15,16484.41,43999.37,24591.13,10450.3,5495.081,20433.18,8918.226,0,0
"Q9P2K5",7020.56,2770.799,6235.976,5507.732,37170.83,22234.27,69619.51,98060.81,65783.89,68030.83,0,0
"Q9P2M7",0,984.6238,1022.467,1076.647,1631.87,1809.457,12929.2,12179.54,2100.458,0,0,0
"Q9P2M7.1",61748.54,104689.6,113427.8,127379.4,319290,221483.5,305773.6,323661.6,154921.9,147021.5,0,0
"Q9P2M7.2",0,53.15805,13.8629,0,0,0,61553.19,55062.25,0,910.6853,0,0
"Q9P2M7.3",3511.906,8346.3,1539.259,494.7588,77722.06,73283.6,32769.3,28658.09,72101.42,57907.64,0,0
"Q9P2M7.4",20885.21,23277.98,26530.5,37175.21,150516.1,70298.69,193233.2,213269.9,61763.69,71976.98,0,0
"Q9UBB9",4058.755,8268.098,0,9695.674,0,90.17841,20191.95,14504.83,38081.45,31121.99,0,0
"Q9UBM7",20213.54,30381.13,22602.19,19256.05,4388.807,1838.075,16697.5,19373.62,68781.61,48379.35,0,0
"Q9UD71",8425.047,5165.737,75392.77,110503,1400.098,4621.406,12023.99,11035.64,8906.008,5763.849,0,0
"Q9UDY2",39265.1,48281.79,54046.58,42993.44,23951.82,24487.59,97251.25,86633.02,71409.57,41625.58,0,0
"Q9UDY2.1",928108.6,1203232,1070328,964871.8,543715.4,519377.9,2045338,1907042,948717.7,797482.3,0,0
"Q9UDY2.2",156158.8,179053.5,40580.84,42404.93,10987.85,8575.253,122459.2,139832.5,102791.1,126572.7,0,0
"Q9UDY2.3",96320.78,122484.4,75110.78,51844.86,132428.3,91219.37,153767.5,111047.8,146419.1,86665.46,0,0
"Q9UDY2.4",4250.303,7142.165,0,8148.405,11174.59,7421.391,58758.29,55428.43,26137.68,27626.94,0,0
"Q9UDY2.5",82730.38,125380.3,101322.6,71798.69,19109.18,33443.6,101334.8,103693.4,117665.4,105075,0,0
"Q9UDY2.6",2591.019,2984.11,13180.88,7269.648,4403.107,4125.457,13143.6,8838.85,14093.76,7470.33,0,0
"Q9UDY2.7",126294.6,74933.43,124320.9,88689.27,26678.5,18499.21,195092.2,128455.5,103733.8,100289,0,0
"Q9UDY2.8",4334.932,16103.32,34824.09,10029.91,0.04092665,0,26641.11,21685.51,7110.302,5849.201,0,0
"Q9UEY8",0,7110.075,88230.18,43522.61,45246.51,40570.77,92730.81,106461,86026.66,47206.17,0,0
"Q9UEY8.1",0,1968.746,114021.9,90063.86,65468.47,62530.76,77361.69,78195.94,84660.89,63762.23,0,0
"Q9UFC0",25708.89,62385.01,92931.2,58586.46,48614.07,28425.5,57678.95,57085.38,49414.07,33560.49,0,0
"Q9UHB6",7862.57,18388.3,2064.168,3368.97,10927.97,12675.99,1882.922,603.8546,20017.58,9446.913,0,0
"Q9UHB6.1",33686.5,47771.94,55654.04,84329.68,95078.75,50046.7,189303,291252.7,55637.37,72852.73,0,0
"Q9UHB6.2",1151283,1024034,805892,625928.2,1159531,1126130,2665776,2538622,1697783,1289423,0,0
"Q9UHB6.3",292662.8,360136.1,237054.4,180328.7,298327.8,338168.8,417205.2,385275.2,674803.7,566762.1,0,0
"Q9UHD8",57790.67,119574,319591.7,370756.5,273559,253565.5,1403142,1331186,283699.1,207622.9,0,0
"Q9UHR4.3",15119.76,146.9581,5195.615,3368.548,4.47e-05,3688.081,45997.71,50460.78,6626.204,6714.95,0,0
"Q9UHR4.4",10686.51,23968.95,27672.57,18495.08,188055.2,163949.4,35326.89,31422.22,50499.32,32021.12,0,0
"Q9UJU6",0,0,1623.438,0,2399.374,3234.097,27001.53,21257.45,10561.49,5498.852,0,0
"Q9UK58",10393.5,3185.732,49428.62,43143.24,2707.85,0,73463.01,80132.38,49263.4,16531.9,0,0
"Q9UK76",431649.4,419327.2,873274,923221.8,4660980,3706895,910210.2,993796.2,1052466,800882.1,0,0
"Q9UK76.1",0,1868.855,6131.335,4074.901,42916.16,63744.77,40455.77,30322.83,4418.694,1064.753,0,0
"Q9UK76.2",1180269,1140600,2133393,2068977,7068578,7683137,6743428,6147870,1951309,1644005,0,0
"Q9UKE5",17112.07,14490.88,141176,91880.61,70272.6,67328.94,247583,253325,304900.7,206426.1,0,0
"Q9UKE5.1",27618.44,19211.18,33015.73,64687.09,45286.27,13582.64,4619.103,2761.683,160148,159342.5,0,0
"Q9UKJ3",5973.656,11940.83,16095.86,13791.33,4212.92,3726.717,28911.56,31124.46,27078.33,22157.17,0,0
"Q9UKM9",1932924,1649366,1236401,1235183,2353335,2752870,2010747,2417481,1624912,1586477,0,0
"Q9UKM9.1",153077.2,148197.4,369556.6,348694.8,112135,68029.61,197147.5,191097.4,192144.9,253527.7,0,0
"Q9UKV3",22052.54,16921.56,45792.67,50079.34,68160.93,79310.37,162477.6,237679.9,59035.98,58305.76,0,0
"Q9UKV3.1",26149.34,33810.75,72008.58,49174.95,66230.77,54797.81,7234.349,6581.258,70105.74,33518.11,0,0
"Q9UKV3.2",6737.965,10886.07,47821.15,43112.18,4569.164,1708.008,15693.67,12766.56,36801.08,26282.61,0,0
"Q9UKV3.3",33583.44,32553.69,50394.63,48000.37,46801.54,37426.08,13768.65,5043.904,93260.55,43122.13,0,0
"Q9ULT8",321851.8,302488.1,300926.4,267077.4,150934.7,116777,100147.2,55583.11,241062.2,263355.1,0,0
"Q9ULU4",0,0,0,0,0,0,6689.625,8626.159,0,0,0,0
"Q9ULU4.1",12703.17,51262.62,91937.64,67323.94,272698,186212.8,313827.7,369097.6,216763.8,154534.2,0,0
"Q9ULX3",10432.16,6392.606,26050.46,53863.87,7570.449,8249.255,60238.53,76922.13,27063.85,8677.004,0,0
"Q9UMD9",109674.5,158471.7,327420.4,305882.6,694771.1,752318.5,989795.5,1209674,431439.1,426311.2,0,0
"Q9UN36",20741.22,39406.96,111128.8,84234.05,73231.27,87251.73,385100.1,352550.7,118894.6,99153.66,0,0
"Q9UN86",31674.18,54729.24,90794.84,74727.17,71995.89,65295.78,141803.7,149376,45901.56,44832.58,0,0
"Q9UPT8",757625.6,1003457,314813.6,296676.1,649358.2,544616.6,839950.5,852247.7,535744.8,509365,0,0
"Q9UQ35",493343.4,563899.5,451762.1,307396.4,255210.5,223941.4,284940.1,254797.3,356275.6,304080.5,0,0
"Q9UQ35.1",18372.58,31633.64,50045.75,28991.95,52184.03,36636.01,10076.68,10439.81,30423.07,27549.96,0,0
"Q9UQ35.2",95515.21,111456.7,29974.36,26689.04,34742.36,34867.47,185035.1,175199.7,11280.26,20196.26,0,0
"Q9UQ35.3",1649.658,3340.573,11030.35,13912.99,5840.745,4371.747,18674.34,23814.48,4988.1,1269.948,0,0
"Q9UQ35.4",0,201.2612,0,0,0,182.4478,82598.82,77978.49,0,0,0,0
"Q9UQ35.5",32494.27,45581.93,15725.62,12457.59,75202.22,62879.65,31736.35,29628.42,76535,42412.54,0,0
"Q9UQ35.6",713108.1,586021.2,636140.2,600150.9,600112.7,591122.5,362483.1,473884.5,644884.4,701951.6,0,0
"Q9UQ35.7",7751.875,711.2167,1475.595,6151.911,1343.718,573.5817,319.7895,299.9977,0,0,0,0
"Q9UQ35.8",152067.9,269780.8,66589.34,64070.36,89903.5,99236.56,175457.9,179026.4,77222.32,62860.64,0,0
"Q9UQ35.9",525484.7,626724,299074.8,313012.6,379783.3,354419.2,540115.9,517180.1,378909.3,317916.2,0,0
"Q9UQ35.10",363566.6,476297,340616.1,198576.2,592940.9,541330.3,149187.9,184266.1,489422.3,350455.3,0,0
"Q9UQ35.11",500.4203,1176.875,5357.092,0,0,0,27805.61,33956.11,0,0,0,0
"Q9UQ35.12",35049.62,34501.06,17314.33,19695.62,27082.66,10217.55,74718,66406.69,54198.21,29440.59,0,0
"Q9UQ35.13",1224352,1578582,896399.7,770825,1174792,1049281,1113873,1078101,1217029,1112711,0,0
"Q9UQ35.14",198636.4,268577.2,119051.6,75793.39,125818.8,194123.8,8880.024,11393.25,161716.3,116112.8,0,0
"Q9UQ35.15",119522.7,285550.5,156898.3,117525.9,182660.6,162307,370287.4,353536.1,253347,204224.3,0,0
"Q9UQ35.16",3384.732,15068.01,4737.714,2050.785,9723.261,15455.72,394.3131,242.5937,11281.29,7261.721,0,0
"Q9UQ35.17",49091.13,66883.49,37556.72,41081.61,49990.81,34978.82,94805.13,83016.64,47939.24,39545.12,0,0
"Q9UQ35.18",57111.18,69433.49,44658.11,54087.86,66318.73,50246.98,315455.4,312369.4,37933.48,48857.16,0,0
"Q9UQ35.19",44545.8,59364.2,26515.61,15328.67,45768.37,3609.513,19098.52,6937.437,35747.28,20034.04,0,0
"Q9UQ35.20",0,0,0,0,0,0,26967.05,21940.12,0,0,0,0
"Q9UQ35.21",17677.18,27775.77,31473.39,20570.62,105675.4,141729.1,7764.845,7608.558,49143.04,38159.84,0,0
"Q9UQ35.22",20930.18,35561.42,7956.149,999.2727,0,0,4434.384,3028.122,0,0,0,0
"Q9UQ35.23",390374.8,473369.1,87216.35,62811.6,75362.83,51223.74,435228.3,454074.4,71477.36,50689.92,0,0
"Q9UQ80",5740.999,6076.838,134529.4,90320.87,0,2742.785,37697.4,38198.23,188836.3,128123.1,0,0
"Q9Y2H5",156403.6,166562.9,215414.7,173590,131456.9,188889.8,239427.8,253114.9,251221.8,190175.6,0,0
"Q9Y2U5",5845.535,7436.812,40651.37,49000.51,19380.41,23204.84,78744.31,81656.23,44999.68,36390.37,0,0
"Q9Y2W1",223993.4,247380.7,444770.2,391900.6,360328.5,312555.2,263067.9,273313,363559.9,270579.1,0,0
"Q9Y2W1.1",10056.1,13361.06,17204.1,23465.27,20845.27,1944.697,8934.349,11271.78,19140.3,12392.38,0,0
"Q9Y2W1.2",93.73382,325.537,1616.927,363.2801,0,0,3546.806,3240.309,371.5225,209.9198,0,0
"Q9Y2X3",150453.9,203554.6,340902.4,469988.4,146598,86376.61,127313.2,113696.2,378717.6,309695.3,0,0
"Q9Y3T9",5047.805,8062.807,13450.98,6769.812,6463.403,13171.72,273.374,226.2961,8942.699,4991.284,0,0
"Q9Y4F5",0,1471.323,13212.97,6797.487,0,0,21349.11,15987.41,1811.471,9936.201,0,0
"Q9Y4G6",39587.51,43578.22,30617.54,19884.36,25984.91,28733.05,17300.95,20223.32,77812.12,69898.7,0,0
"Q9Y4K1",81513.22,53013.04,38639.11,41617.64,2507.777,8614.632,126375.8,136605,22132.09,17095.56,0,0
"Q9Y580",935.6844,4809.547,1220.541,819.5863,6396.422,7306.613,13880.29,11120.38,1609.997,0,0,0
"Q9Y5J1",64581.91,85138.57,80502.59,75813.75,33697.75,29447.63,50578.11,26219.53,82099.78,51255.86,0,0
"Q9Y5J1.1",129741.3,143469.4,48999.2,192438.3,52529.25,48262.73,2199.789,3552.715,157030.5,171951.1,0,0
"Q9Y6D5",61271.73,94542.24,160526.2,123737,59817.32,49085.45,120211.7,119105.3,185601.4,126433.6,0,0
"Q9Y6G9",38471.81,92274.97,95397.26,65013.66,155690.7,123506.3,251695.3,255553,153190,190143.3,0,0
"Q9Y6G9.1",9214.816,34064.32,18028.72,26927.19,13767.03,11165.04,63046.59,71101.98,14784.41,34514.69,0,0
"Q9Y6I3",6406.471,8099.047,1967.952,3300.582,1362.223,1693.063,72688.02,60146.24,6950.41,10018.56,0,0
"Q9Y6M1",43010.92,50387.19,58414.02,48984.91,34017.05,32590.08,107638,105016.3,23034.74,44272.53,0,0
"P62258",19949.81,26525.4,24300.22,20937.71,9382.095,2894.337,71359.1,93386.45,31842.01,12945.44,0,0
"P47736",0,0,0,0,0,0,17027.79,16159.47,0,0,0,0
"Q5VSL9",4751.328,28689.37,64617.44,56234.78,23626.22,28370.82,55534.67,48351.89,35590.5,19005.05,0,0
"P35611.1",5563.036,13696.22,62414.49,36869.85,1848.303,7260.587,47159.46,41732.04,52372.34,47023.98,0,0
"P27824.5",1770795,2621954,4498437,3432514,2555961,2315175,4414423,3930641,4206351,3186692,0,0
"Q13586",39894.47,59168.97,129283.1,84067.99,50991.44,69525.14,60723.9,51550.07,59419.49,52266.27,0,0
"Q6KC79",3722.605,5098.094,3220.946,5429.77,1552.064,7626.356,70313.05,60390.36,9175.168,10963.32,0,0
"Q00839.2",28744.67,45035.24,9345.576,15781.81,4214.97,4220.699,121198.4,123089.6,33491,38539.22,0,0
"P00558",102624,85222.13,106527.4,110758.1,55300.06,38826.74,595199.6,543430.2,98776.2,127929.1,0,0
"Q9H4L5",28263.32,34508.7,96843.65,83621.27,16828.29,8923.348,110582.7,101539.2,81200.6,57799.02,0,0
"Q5VTR2",2854.562,3141.021,16290.05,8503.481,7640.729,0,38853.53,36545.32,12017.47,14655.79,0,0
"Q15149.7",4611.113,17553.98,119520.8,73461.53,73331.82,55586.35,38279.89,39292.42,106660.2,82201.7,0,0
"Q01082.1",2245.869,23805.33,48214.32,44728.7,13215.4,25865.18,85515.9,90625.84,49665.04,29698.6,0,0
"P05787.8",0,0,0,0,0,3108.973,5637.859,3889.719,0,0,0,0
"Q9H019",0,0,0,0,0,0,4324.742,2746.916,0,0,0,0
"Q9Y2K5",0,0,0,0,0,0,9242.128,12623.63,0,0,0,0
"Q9H0B6",0,0,1673.475,0,1226.46,0,7494.797,8012.892,2595.674,0,0,0
"Q05655.3",29261.77,33405.38,27977.6,29153.91,15805.05,7690.224,47311.47,42409.01,22632.23,25810.14,0,0
"P29692.4",181280.1,235475.6,392606,161923.6,22673.86,51945.61,236052.2,300389.1,90266.25,57207.16,0,0
"P29692.5",1362847,2062616,1977202,938632.6,648428.4,766177.9,51908.4,57881.94,675987.4,510206.5,0,0
"Q9UQN3",0,1109.516,11259.91,4633.535,3781.082,4863.918,19233.71,16911.6,5653.276,8554.686,0,0
"O14950",12832,14840.29,5376.645,5560.33,3064.218,1129.915,198818.7,167873.1,21675.14,25600.25,0,0
"Q8IWW6.2",25166.18,42315.84,31046.26,33900.53,38272.33,35695.11,162429.7,153190.8,34978.23,17265.84,0,0
"Q9H1E3.4",36909.27,58539.82,60827.29,44305.55,234894,213155.3,668.6341,233.7208,116473.5,73358.27,0,0
"Q6PCE3",1278.684,0,6637.989,10529.13,10314.47,13176.96,165029.1,158555.5,9465.089,15846.28,0,0
"Q6PKG0.2",33694.73,43632.41,60537.28,37603.74,139682.3,80492.94,185509.1,239921.1,48621.11,44639.34,0,0
"P47712.1",0,0,0,0,0,0,656.2518,4436.279,0,1295.078,0,0
"P23396",223794,301301.2,239824.5,308868.4,383467.3,432705.3,515911,476873.2,376606.1,283446.6,0,0
"P06748.1",32.35287,2484.731,62629.12,45820.43,55449.69,47447.45,23740.92,43296.76,71030.78,40948.14,0,0
"P06748.2",1062.347,10893.36,12510.72,13671.85,6072.567,7009.579,147543.9,173807.6,18807.63,9400.469,0,0
"P06748.3",51059.3,47549.97,46863.06,10609.29,3112.482,6152.35,160151.4,132572.7,82847.51,81222.78,0,0
"O15173.2",0,0,0,0,0,0,748.7849,0,0,0,0,0
"Q6UN15",13614.65,34295.99,19932.13,24309.38,5125.908,7042.809,14569.14,19478.3,34071.29,24250.23,0,0
"Q15121",33402.34,47048.4,16543.32,12307.09,24286.71,27454.84,60455.45,71655.58,16826.99,4385.854,0,0
"Q14498",1030830,1324130,1954266,1557356,1040337,947282.4,1125463,1526164,1832174,1623956,0,0
"P21127",5300.606,2574.844,21439.24,26884.47,18729.15,18589.99,89035.52,112665.1,12906.14,10478.48,0,0
"Q8TAQ2",40795.87,55470.87,100945.8,98482.71,245423.6,202770.1,122006,130002,130161,112801.8,0,0
"Q8TAQ2.1",6368.105,6728.357,2763.657,2618.978,0,2387.024,246703.7,217974.6,6087.043,3024.271,0,0
"Q9H1E3.5",407771.2,863435.4,606115,592631.7,506332.7,483504.9,186760.4,189852.5,347554.6,455477.9,0,0
"Q9H1E3.6",127374.7,100949.1,178485.5,201963.5,134531.1,194765.5,184797.2,159128.5,106201.4,114052.4,0,0
"Q96QR8",70069.57,72691.79,11162.79,10362.33,7016.824,3703.706,196876.5,177731.3,42683.54,57252.85,0,0
"Q9UPU7",10668.4,20444.64,36495.94,32185.45,25673.94,49135.16,53169.09,42291.54,65233.39,61403.7,0,0
"Q13153",63359.38,73885.72,88821.71,108331.8,93770.55,95758.32,109154.7,151538.7,108406.6,102545.9,0,0
"Q5VT52",13548.05,30767.77,51946.79,45700.44,38617.45,32210.01,12880.75,8006.478,58486.5,56691.65,0,0
"Q5VT52.1",0,4575.351,5975.438,0,2107.84,1349.236,50253.01,55329.17,3283.589,2384.46,0,0
"P38159",30659.2,39420.24,126928.7,73220.9,24589.36,35307.32,28241.64,25913.73,35275.9,28018.41,0,0
"Q15185.1",6007.632,15992.36,199356.4,227080.6,14825.73,9285.903,460191.5,487722.4,176806.7,153505.1,0,0
"Q15185.2",146034.7,212049.2,772803.3,942751.2,833704.1,946507.4,404247.8,320296.7,1871598,1111028,0,0
"P61978",2925.976,4606.693,28595.89,17470.58,0,0,37996.15,27201.29,7436.531,2978.185,0,0
"P49792.1",39342.99,84714.39,75594.64,53954.52,68612.6,84912.07,146807.7,188801.7,147540.2,123422,0,0
"O75569",9305.851,15363.27,27371.14,16408.53,41474.1,43955.39,43999.72,55230.68,57045.09,46030.98,0,0
"O75643",276677.4,286587.8,312753.3,348075.2,240400.7,125499.6,305198,340318.1,256749,276606.7,0,0
"O75643.1",485782.3,527226,777491.4,624534.9,629635.2,432219.1,88601.26,29579.53,939014.1,933800.5,0,0
"P13796",0,0,0,0,0,0,2310.146,2744.955,0,0,0,0
"Q13188",0,0,13085.24,12284.51,0,0,101773.5,108465.7,21782.89,3624.493,0,0
"P46379.1",1745.666,13107.86,31197.49,38879.03,1695.674,0,163738.6,142899.4,15619.14,13959.12,0,0
"P46379.2",70001.07,88497.32,296428.2,218912.7,196605.6,120308.2,42744.75,32900.24,177430.9,124498.7,0,0
"Q8TCJ2",236572.4,255148.3,305670.3,272590.7,134106.1,13777.08,12147.08,8036.424,189874,138059.8,0,0
